"year","common_name","sci_name","count"
"1951","Sharp-shinned Hawk","Accipiter striatus",NA
"1952","Sharp-shinned Hawk","Accipiter striatus",NA
"1953","Sharp-shinned Hawk","Accipiter striatus",NA
"1954","Sharp-shinned Hawk","Accipiter striatus",1
"1956","Sharp-shinned Hawk","Accipiter striatus",2
"1957","Sharp-shinned Hawk","Accipiter striatus",1
"1958","Sharp-shinned Hawk","Accipiter striatus",NA
"1959","Sharp-shinned Hawk","Accipiter striatus",1
"1960","Sharp-shinned Hawk","Accipiter striatus",2
"1961","Sharp-shinned Hawk","Accipiter striatus",NA
"1962","Sharp-shinned Hawk","Accipiter striatus",1
"1963","Sharp-shinned Hawk","Accipiter striatus",1
"1964","Sharp-shinned Hawk","Accipiter striatus",1
"1965","Sharp-shinned Hawk","Accipiter striatus",3
"1966","Sharp-shinned Hawk","Accipiter striatus",NA
"1967","Sharp-shinned Hawk","Accipiter striatus",2
"1968","Sharp-shinned Hawk","Accipiter striatus",NA
"1969","Sharp-shinned Hawk","Accipiter striatus",1
"1970","Sharp-shinned Hawk","Accipiter striatus",1
"1971","Sharp-shinned Hawk","Accipiter striatus",NA
"1972","Sharp-shinned Hawk","Accipiter striatus",NA
"1973","Sharp-shinned Hawk","Accipiter striatus",1
"1974","Sharp-shinned Hawk","Accipiter striatus",2
"1975","Sharp-shinned Hawk","Accipiter striatus",7
"1976","Sharp-shinned Hawk","Accipiter striatus",9
"1977","Sharp-shinned Hawk","Accipiter striatus",8
"1978","Sharp-shinned Hawk","Accipiter striatus",4
"1979","Sharp-shinned Hawk","Accipiter striatus",8
"1980","Sharp-shinned Hawk","Accipiter striatus",9
"1981","Sharp-shinned Hawk","Accipiter striatus",6
"1982","Sharp-shinned Hawk","Accipiter striatus",6
"1983","Sharp-shinned Hawk","Accipiter striatus",6
"1984","Sharp-shinned Hawk","Accipiter striatus",7
"1985","Sharp-shinned Hawk","Accipiter striatus",4
"1986","Sharp-shinned Hawk","Accipiter striatus",3
"1987","Sharp-shinned Hawk","Accipiter striatus",4
"1988","Sharp-shinned Hawk","Accipiter striatus",3
"1989","Sharp-shinned Hawk","Accipiter striatus",1
"1990","Sharp-shinned Hawk","Accipiter striatus",1
"1991","Sharp-shinned Hawk","Accipiter striatus",7
"1992","Sharp-shinned Hawk","Accipiter striatus",6
"1993","Sharp-shinned Hawk","Accipiter striatus",4
"1994","Sharp-shinned Hawk","Accipiter striatus",1
"1995","Sharp-shinned Hawk","Accipiter striatus",6
"1996","Sharp-shinned Hawk","Accipiter striatus",5
"1997","Sharp-shinned Hawk","Accipiter striatus",8
"1998","Sharp-shinned Hawk","Accipiter striatus",3
"1999","Sharp-shinned Hawk","Accipiter striatus",6
"2000","Sharp-shinned Hawk","Accipiter striatus",3
"2001","Sharp-shinned Hawk","Accipiter striatus",6
"2002","Sharp-shinned Hawk","Accipiter striatus",3
"2003","Sharp-shinned Hawk","Accipiter striatus",8
"2004","Sharp-shinned Hawk","Accipiter striatus",6
"2005","Sharp-shinned Hawk","Accipiter striatus",7
"2006","Sharp-shinned Hawk","Accipiter striatus",9
"2007","Sharp-shinned Hawk","Accipiter striatus",7
"2008","Sharp-shinned Hawk","Accipiter striatus",1
"2009","Sharp-shinned Hawk","Accipiter striatus",2
"2010","Sharp-shinned Hawk","Accipiter striatus",1
"2011","Sharp-shinned Hawk","Accipiter striatus",5
"2012","Sharp-shinned Hawk","Accipiter striatus",2
"2013","Sharp-shinned Hawk","Accipiter striatus",6
"2014","Sharp-shinned Hawk","Accipiter striatus",3
"2015","Sharp-shinned Hawk","Accipiter striatus",3
"2016","Sharp-shinned Hawk","Accipiter striatus",3
"2017","Sharp-shinned Hawk","Accipiter striatus",3
"2018","Sharp-shinned Hawk","Accipiter striatus",4
"2019","Sharp-shinned Hawk","Accipiter striatus",4
"2020","Sharp-shinned Hawk","Accipiter striatus",3
"2021","Sharp-shinned Hawk","Accipiter striatus",4
"2022","Sharp-shinned Hawk","Accipiter striatus",2
"2023","Sharp-shinned Hawk","Accipiter striatus",1
"2024","Sharp-shinned Hawk","Accipiter striatus",3
"1923","hawk sp.","Accipitridae sp.",NA
"1928","hawk sp.","Accipitridae sp.",NA
"1929","hawk sp.","Accipitridae sp.",NA
"1930","hawk sp.","Accipitridae sp.",NA
"1931","hawk sp.","Accipitridae sp.",NA
"1932","hawk sp.","Accipitridae sp.",NA
"1933","hawk sp.","Accipitridae sp.",NA
"1934","hawk sp.","Accipitridae sp.",NA
"1935","hawk sp.","Accipitridae sp.",NA
"1936","hawk sp.","Accipitridae sp.",NA
"1937","hawk sp.","Accipitridae sp.",NA
"1938","hawk sp.","Accipitridae sp.",NA
"1940","hawk sp.","Accipitridae sp.",NA
"1941","hawk sp.","Accipitridae sp.",NA
