"","dif_mig","dif_habDen","dif_mass","dif_tailLen","dif_handWing","dif_Secondary","dif_KippsDist","dif_wingLen","dif_tarsusLen","dif_beakDep","dif_width","dif_beakLenNare","dif_beakLenCulm","dif_clutchMin","dif_clutchMax","dif_ESI","dif_DB","dif_HB","dif_normMax","dif_elevaRange","dif_weight","dif_LAT","dif_RLM","dif_primHab","dif_primDiet","dif_INwt","dif_FRwt","dif_NEwt","dif_SEwt","dif_VEwt","dif_FIwt","dif_SCwt","dif_PLwt","dif_MSwt","dif_trophicLvl","dif_trophicNic","dif_primLife","sp1","sp2","corr"
"992",1,0,18.9,3.59999999999999,5.5,13,12.7,27.8,7.3,0.700000000000001,0.8,2.7,7,2,2,0.243038048686294,0,3,605,605,21.025,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,"House.Finch","Brown.headed.Cowbird",0.173399530873515
"993",0,1,83.8,52,1.6,42.4,13.1,55.7,18.2,2.3,0.7,13.4,22.4,1,0,0.109144469425068,1,1,2500,2500,86.025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"House.Finch","Common.Grackle",0.0863838572619143
"994",1,1,2.6,15.8,2.6,0.699999999999996,2.9,4,4.9,4.1,3,0.5,4.5,1,1,0.544068044350275,0,5,1600,1600,0.991666666666667,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"House.Finch","Ovenbird",0.00976362283379162
"995",1,1,11.9,16.8,11.4,11.5,12.7,22.5,2.8,4.9,3.6,0.5,2.1,1,1,0.845098040014257,1,5,1100,1100,10.45,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,"House.Finch","Common.Yellowthroat",0.0702777857923599
"996",1,0,9.6,12.2,1.1,4.59999999999999,0.599999999999998,5.40000000000001,1.2,4.4,3.5,0.4,2.8,1,3,0.0669467896306132,1,3,450,450,9.475,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,"House.Finch","Pine.Warbler",0.128872156602415
"997",1,1,7.7,5.09999999999999,1.7,11.6,6.7,14.8,2.1,0.800000000000001,1.8,4.9,8.6,1,3,0.243038048686294,0,3,1000,1000,7.035,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,"House.Finch","Summer.Tanager",0.0843311715447995
"998",1,0,21.2,35.6,12,21.9,7,16.3,7.1,4.1,2.7,6.3,7,1,2,0.243038048686294,2,5,1500,1500,22.9083333333333,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,"House.Finch","Northern.Cardinal",0.129683492060486
"999",1,0,6,1.8,4.6,11.4,1.3,8.89999999999999,2.9,2.7,0.800000000000001,3.9,6.4,1,2,0.0669467896306132,0,1,1000,1000,7.275,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"House.Finch","Blue.Grosbeak",-0.337440109514032
"1000",1,0,6.7,17.3,5,5.5,6.5,12.4,0.199999999999999,2,1.5,0.800000000000001,1.1,1,3,0.234083206033368,2,1,1200,1200,6.075,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,"House.Finch","Indigo.Bunting",-0.0790284001089196
"1026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"American.Goldfinch","American.Goldfinch",1
"1027",2,1,0.600000000000001,7.7,3.4,0.700000000000003,2.8,1.8,2.8,1.4,0.3,1.2,1.6,0,0,0.397940008672037,1,1,2800,2800,0.4,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,"American.Goldfinch","Chipping.Sparrow",-0.272416169272648
"1028",1,1,27.2,43.4,14,20.5,8,12.5,13.5,1.9,1.2,1.6,3.9,0,1,0.698970004336019,3,1,980,980,28.1666666666667,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,"American.Goldfinch","Eastern.Towhee",0.520273745852161
"1029",0,1,12.1,23.5,6.3,10.2,2.8,6.7,12.6,0,0.5,2.3,4.8,1,2,0,1,2,1100,1100,14.55,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,"American.Goldfinch","Yellow.breasted.Chat",0.00410747957613985
"1030",1,2,79,19.1,2.8,35.8,9.3,38.3,26.3,1.9,1.8,11.8,22,0,0,0.301029995663981,1,0,1500,1500,85.55,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,"American.Goldfinch","Eastern.Meadowlark",0.215568865430359
"1031",2,2,38,40.6,3.6,38.6,8.7,48.2,14.5,2.5,1.3,7.2,11.2,0,3,0.301029995663981,1,0,1500,1500,43.45,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,"American.Goldfinch","Red.winged.Blackbird",0.282683110325637
"1032",2,1,27.5,21.5,5.4,18.5,14.8,35.2,11.2,2.6,1.5,2.9,6.1,2,2,0.301029995663981,1,0,1895,1895,29.8,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,"American.Goldfinch","Brown.headed.Cowbird",0.541502724121103
"1033",1,2,92.4,69.9,1.7,47.9,15.2,63.1,22.1,4.2,3,13.6,21.5,1,0,0.653212513775344,2,2,0,0,94.8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"American.Goldfinch","Common.Grackle",0.186933472889587
"1034",2,0,6,2.1,2.7,4.8,0.800000000000001,3.40000000000001,8.8,2.2,0.7,0.700000000000001,3.6,1,1,0,1,2,900,900,7.78333333333333,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,"American.Goldfinch","Ovenbird",0.20311711804492
"1035",2,0,3.3,1.1,11.5,6,10.6,15.1,6.7,3,1.3,0.299999999999999,1.2,1,1,0.301029995663981,0,2,3600,3600,1.675,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,"American.Goldfinch","Common.Yellowthroat",-0.134704609542661
"1036",2,1,1,5.7,1,0.900000000000006,1.5,2,5.1,2.5,1.2,0.199999999999999,1.9,1,3,0.477121254719662,2,0,2050,2050,0.699999999999999,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,"American.Goldfinch","Pine.Warbler",0.460472306226568
"1037",2,0,16.3,23,1.6,17.1,8.8,22.2,6,2.7,4.1,5.1,7.7,1,3,0.301029995663981,1,0,1500,1500,15.81,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,"American.Goldfinch","Summer.Tanager",0.172396103085731
"1038",0,1,29.8,53.5,12.1,27.4,4.9,23.7,11,6,5,6.5,6.1,1,2,0.301029995663981,3,2,1000,1000,31.6833333333333,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,"American.Goldfinch","Northern.Cardinal",0.410537119397879
"1039",2,1,14.6,16.1,4.7,16.9,0.799999999999997,16.3,6.8,4.6,3.1,4.1,5.5,1,2,0.477121254719662,1,2,1500,1500,16.05,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,"American.Goldfinch","Blue.Grosbeak",-0.144910181761519
"1040",2,1,1.9,0.600000000000001,5.1,0,4.4,5,3.7,0.0999999999999996,0.8,0.6,0.199999999999999,1,3,0.778151250383644,3,2,1300,1300,2.7,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,"American.Goldfinch","Indigo.Bunting",0.233966139902064
