"common_name","year","count"
"Hooded Merganser",1983,0
"Hooded Merganser",1984,0
"Hooded Merganser",1985,0
"Hooded Merganser",1986,0
"Hooded Merganser",1987,0
"Hooded Merganser",1988,0
"Hooded Merganser",1989,0
"Hooded Merganser",1990,0
"Hooded Merganser",1991,0
"Hooded Merganser",1992,0
"Hooded Merganser",1993,0
"Hooded Merganser",1994,2
"Hooded Merganser",1995,0
"Hooded Merganser",1996,0
"Hooded Merganser",1997,0
"Hooded Merganser",1998,0
"Hooded Merganser",1999,0
"Hooded Merganser",2000,0
"Hooded Merganser",2001,0
"Hooded Merganser",2002,0
"Hooded Merganser",2003,1
"Hooded Merganser",2004,4
"Hooded Merganser",2005,8
"Hooded Merganser",2006,2
"Hooded Merganser",2007,2
"Hooded Merganser",2008,0
"Hooded Merganser",2009,0
"Hooded Merganser",2010,1
"Hooded Merganser",2011,0
"Hooded Merganser",2012,0
"Hooded Merganser",2013,5
"Hooded Merganser",2014,1
"Hooded Merganser",2015,2
"Hooded Merganser",2016,11
"Hooded Merganser",2017,1
"Hooded Merganser",2018,4
"Hooded Merganser",2019,0
"Hooded Merganser",2020,4
"Hooded Merganser",2021,3
"Hooded Merganser",2022,0
"Hooded Merganser",2023,4
"Hooded Merganser",2024,0
"Common Merganser",1952,0
"Common Merganser",1957,0
"Common Merganser",1958,0
"Common Merganser",1960,0
"Common Merganser",1961,0
"Common Merganser",1962,0
"Common Merganser",1963,0
"Common Merganser",1964,0
"Common Merganser",1965,0
"Common Merganser",1966,0
"Common Merganser",1967,0
"Common Merganser",1968,0
"Common Merganser",1969,0
"Common Merganser",1970,0
"Common Merganser",1971,0
"Common Merganser",1972,0
"Common Merganser",1973,0
"Common Merganser",1974,0
"Common Merganser",1975,0
"Common Merganser",1976,0
"Common Merganser",1977,0
"Common Merganser",1978,0
"Common Merganser",1979,0
"Common Merganser",1980,0
"Common Merganser",1981,0
"Common Merganser",1982,0
"Common Merganser",1983,0
"Common Merganser",1984,0
"Common Merganser",1985,0
"Common Merganser",1986,0
"Common Merganser",1987,0
"Common Merganser",1988,1
"Common Merganser",1989,0
"Common Merganser",1990,0
"Common Merganser",1991,0
"Common Merganser",1992,0
"Common Merganser",1993,0
"Common Merganser",1994,0
